ImageId,Label
1,5
2,5
3,6
4,0
5,8
6,7
7,6
8,3
9,8
10,3
11,5
12,6
13,9
14,8
15,4
16,5
17,3
18,1
19,4
20,0
21,9
22,1
23,6
24,5
25,7
26,1
27,8
28,9
29,4
30,7
31,6
32,5
33,4
34,2
35,6
36,2
37,3
38,3
39,1
40,2
41,7
42,7
43,6
44,4
45,8
46,9
47,0
48,3
49,1
50,6
51,6
52,8
53,4
54,5
55,8
56,5
57,7
58,0
59,5
60,3
61,4
62,6
63,7
64,4
65,8
66,6
67,1
68,6
69,8
70,1
71,8
72,3
73,2
74,8
75,8
76,3
77,5
78,4
79,3
80,3
81,5
82,4
83,1
84,0
85,9
86,6
87,1
88,2
89,4
90,6
91,5
92,8
93,6
94,6
95,6
96,1
97,3
98,6
99,7
100,1
101,9
102,4
103,6
104,3
105,6
106,3
107,8
108,5
109,8
110,3
111,9
112,0
113,4
114,7
115,1
116,2
117,6
118,1
119,5
120,8
121,3
122,7
123,5
124,6
125,6
126,3
127,3
128,1
129,2
130,7
131,3
132,3
133,4
134,0
135,6
136,9
137,3
138,1
139,2
140,8
141,2
142,3
143,1
144,5
145,5
146,6
147,4
148,9
149,6
150,0
151,6
152,3
153,5
154,6
155,2
156,3
157,6
158,5
159,1
160,0
161,2
162,6
163,6
164,2
165,1
166,5
167,7
168,8
169,3
170,8
171,5
172,7
173,8
174,6
175,1
176,5
177,7
178,2
179,1
180,3
181,1
182,4
183,5
184,2
185,6
186,9
187,3
188,1
189,6
190,6
191,6
192,6
193,7
194,8
195,4
196,8
197,4
198,7
199,6
200,0
201,1
202,1
203,8
204,1
205,6
206,6
207,8
208,4
209,6
210,3
211,9
212,6
213,3
214,4
215,5
216,2
217,1
218,6
219,3
220,1
221,3
222,2
223,1
224,2
225,8
226,1
227,1
228,9
229,1
230,8
231,0
232,4
233,7
234,4
235,6
236,5
237,5
238,3
239,8
240,4
241,3
242,4
243,3
244,3
245,5
246,5
247,6
248,8
249,8
250,5
251,9
252,4
253,1
254,2
255,0
256,7
257,6
258,1
259,1
260,3
261,0
262,5
263,3
264,5
265,1
266,4
267,7
268,2
269,5
270,4
271,6
272,6
273,6
274,3
275,8
276,8
277,1
278,2
279,8
280,4
281,0
282,2
283,5
284,2
285,2
286,8
287,1
288,1
289,8
290,6
291,9
292,1
293,7
294,6
295,6
296,6
297,2
298,6
299,5
300,3
301,9
302,6
303,6
304,2
305,6
306,3
307,6
308,6
309,4
310,5
311,8
312,5
313,1
314,4
315,2
316,3
317,2
318,6
319,1
320,9
321,4
322,6
323,1
324,4
325,8
326,6
327,0
328,1
329,5
330,3
331,1
332,3
333,1
334,3
335,9
336,6
337,9
338,1
339,6
340,4
341,8
342,3
343,1
344,8
345,4
346,6
347,8
348,5
349,8
350,3
351,8
352,7
353,7
354,6
355,2
356,8
357,5
358,9
359,8
360,6
361,5
362,6
363,5
364,8
365,6
366,6
367,3
368,8
369,1
370,6
371,1
372,2
373,1
374,9
375,7
376,1
377,9
378,5
379,3
380,7
381,2
382,5
383,5
384,8
385,2
386,1
387,6
388,1
389,5
390,6
391,1
392,7
393,6
394,9
395,1
396,1
397,1
398,1
399,6
400,5
401,4
402,7
403,9
404,1
405,1
406,1
407,8
408,3
409,0
410,7
411,5
412,6
413,4
414,6
415,5
416,3
417,1
418,1
419,3
420,5
421,3
422,6
423,6
424,5
425,3
426,1
427,1
428,4
429,9
430,7
431,1
432,8
433,5
434,3
435,8
436,1
437,9
438,2
439,3
440,5
441,0
442,4
443,4
444,4
445,7
446,4
447,6
448,5
449,5
450,6
451,9
452,1
453,0
454,6
455,2
456,9
457,5
458,5
459,8
460,0
461,1
462,7
463,5
464,8
465,5
466,1
467,7
468,1
469,1
470,1
471,1
472,6
473,4
474,6
475,6
476,0
477,7
478,3
479,1
480,0
481,4
482,8
483,1
484,2
485,6
486,0
487,1
488,4
489,5
490,7
491,7
492,6
493,2
494,6
495,2
496,6
497,8
498,2
499,0
500,4
501,8
502,3
503,8
504,9
505,6
506,6
507,8
508,3
509,6
510,2
511,7
512,9
513,8
514,5
515,2
516,3
517,2
518,1
519,4
520,5
521,6
522,6
523,6
524,7
525,6
526,1
527,0
528,1
529,1
530,1
531,0
532,5
533,2
534,8
535,8
536,5
537,6
538,5
539,6
540,2
541,8
542,2
543,8
544,5
545,9
546,0
547,6
548,6
549,5
550,1
551,6
552,3
553,8
554,5
555,8
556,8
557,4
558,3
559,6
560,2
561,6
562,2
563,6
564,1
565,8
566,5
567,6
568,1
569,1
570,6
571,2
572,3
573,2
574,8
575,8
576,4
577,4
578,8
579,6
580,5
581,5
582,6
583,5
584,6
585,6
586,1
587,1
588,3
589,8
590,6
591,0
592,8
593,6
594,5
595,3
596,6
597,0
598,6
599,2
600,2
601,8
602,1
603,7
604,1
605,0
606,5
607,8
608,5
609,2
610,1
611,7
612,6
613,3
614,5
615,3
616,6
617,7
618,6
619,0
620,8
621,6
622,5
623,4
624,4
625,4
626,8
627,9
628,3
629,4
630,5
631,6
632,1
633,8
634,1
635,1
636,4
637,7
638,7
639,8
640,2
641,5
642,4
