"price"	"totsp"	"livesp"	"kitsp"	"dist"	"metrdist"
81	58	40	6	12.5	7
75	44	28	6	13.5	7
128	70	42	6	14.5	3
95	61	37	6	13.5	7
330	104	60	11	10.5	7
137	76	50	9	11	7
98	59	39	6	7.5	10
88	55	36	6	9	5
225	80	56	9	9	5
140	86	51	10	12.7	10
132	96	56	12	10.5	7
115	77	50	9	3.5	7
142	70	47	8	7.5	5
84	63	44	7	14.5	10
100	66	43	7	12	7
110	75	50	10	13.5	10
170	87	58	8	7.5	7
175	79	50	9	4.5	1
96	60	43	6	12	15
110	85	54	10	6	10
170	84	55	11	3	15
125	62	40	8	12.5	5
135	72	51	8	9	5
95	58	38	6	12	8
148	92	61	10	10.5	15
56	68	43	7	13.5	10
135	82	46	13	12	5
130	73	52	7	11	5
72	49	34	6	7	10
127	85	46	14	12	7
140	65	44	8	4.5	5
112	73	51	8	10.5	7
120	83	56	10	12	15
130	70	47	8	9	5
110	75	43	10	12.7	5
450	125	80	20	9	3
159	81	56	8	7.5	15
120	77	47	12	13.5	10
132	77	41	10	10	7
169	68	40	8	3	5
185	75	47	9	3	3
92	61	33	7	10.5	10
88	60	43	6	12	5
90	58	43	6	13.5	2
115	77	50	9	6	10
265	100	56	14	7	10
129	79	46	13	12	15
110	65	46	7	12.5	5
102	60	43	6	12	5
101	77	45	13	13	10
86	60	42	7	12	10
115	75	42	8	12	15
87	64	46	7	12	5
140	99	51	12	10.5	1
219	113	60	20	9	10
79	51	34	6	13.5	5
180	81	50	11	7.5	5
89	62	38	9	13	4
340	83	49	19	9	5
112	75	42	10	12	5
99	67	37	7	10.5	10
170	89	51	12	12.7	6
198	80	45	10	7	7
89	51	34	6	3.5	10
193	78	55	8	7.5	10
100	57	42	6	11	10
135	77	47	10	13.5	10
100	78	44	8	13.5	20
136	64	38	8	3	3
133	80	48	10	10.5	10
145	85	58	8	12	4
105	79	52	10	14.5	10
97	53	34	6	9	5
220	103	49	13	14.5	10
125	77	45	10	12	10
110	81	45	10	13	12
153	87	66	9	7.5	10
137	74	44	10	15.5	8
85	59	45	6	12	5
95	64	45	6	12.5	10
115	67	41	9	14.5	7
76	55	36	6	12.5	15
139	80	48	10	10.5	15
350	80	44	14	10.5	10
105	66	40	8	12.5	5
110	51	34	6	3.5	7
99	66	44	8	12	5
90	60	45	6	13.5	5
130	80	46	10	10.5	15
165	65	45	9	9	10
130	75	44	11	13.5	10
158	78	48	9	9	4
380	130	72	15	7	5
210	80	42	20	8	5
116	75	51	9	3.5	5
140	76	44	10	12.5	5
130	86	54	13	6	10
82	51	35	6	12.5	5
208	115	70	14	10	3
99	65	40	8	17	12
110	77	46	11	13	2
470	120	75	18	9	10
105	57	42	6	3	15
