coupon,currency,driver,fact_km,order,plan_km,plan_time,user,zone
,RUB,17144870,null,34341133,9.01295287961829,10.783333333333333,14531103,moscow
,RUB,17721342,null,7178069,1.5180014415967087,6.583333333333333,8019378,moscow
,RUB,94414125,9.427,846666,9.88432007605117,22.016666666666666,15232981,moscow
,RUB,7615016,45.956,87372383,44.179567571676245,55.8,98174968,moscow
,RUB,01459241,11.256,0155631,9.573120388869025,15.8,7303325,moscow
,RUB,16238153,4.901,41936143,5.0447155520866165,20.916666666666668,86518093,podolsk
,RUB,94414125,8.773,05698987,8.395582968858314,28.85,4535962,vidnoe
,RUB,90637045,1.68,23651704,1.7622731274318213,6.083333333333333,91259695,moscow
,RUB,17144870,19.001,1040900,19.302229416004117,27.083333333333332,39001836,moscow
,RUB,4121681,null,5066128,9.766288740414522,25.15,98193551,moscow
,RUB,93261902,6.521,75159638,6.503937394687795,17.5,29971842,moscow
,RUB,52466634,null,3714789,9.635769211313432,18.666666666666668,35707124,moscow
,RUB,0990780,1.177,36010565,0.8550724706464237,3.3833333333333333,95382791,moscow
,RUB,17721342,4.526,46984770,4.31928323893811,13.183333333333334,8882753,moscow
,RUB,22227102,22.237,7927410,13.073557467890824,31.1,2558338,moscow
,RUB,74391989,3.501,83184320,5.479119409187487,7.316666666666666,29240747,ramenskoe
,RUB,52299060,14.734,5682955,10.473150209492376,24.2,03513435,moscow
,RUB,40454339,null,5229469,5.584272765037898,19.283333333333335,40937243,moscow
,RUB,39634995,2.328,8078566,2.323168142637626,7.566666666666666,07283913,moscow
,RUB,21631633,4.503,8554531,4.5782390711957754,9.933333333333334,04093026,moscow
,RUB,76028546,null,77898274,28.88109716660213,41.983333333333334,44376265,moscow
,RUB,46395068,4.873,05937609,5.3091203103430695,11.283333333333333,141744,krasnogorsk
,RUB,93261902,1.186,08212573,1.1759574643486637,6.05,42736000,moscow
,RUB,40454339,10.742,71356986,10.357268374182496,28.833333333333332,47117520,moscow
,RUB,22383534,2.813,51932913,2.2348549979855723,5.85,87074072,podolsk
,RUB,5462785,6.961,07437078,7.129751436062445,15.316666666666666,56108395,kostroma
,RUB,32152971,null,80915827,11.180444176736424,25.7,77020971,reutov
,RUB,729088,20.732,0512110,18.092827502747667,30.766666666666666,47064119,moscow
,RUB,17721342,1.714,501152,1.8038058640214978,6.3,35711323,moscow
,RUB,96011964,11.73,92472,12.110651351740742,13.233333333333333,23178449,himki
,RUB,02110926,17.187,03198828,17.201390340459746,25.416666666666668,6770356,krasnogorsk
,RUB,5993642,34.354,73221971,31.704324091395062,56.38333333333333,3521800,moscow
,RUB,75732898,13.43,89205314,14.605918113365375,25.316666666666666,74449563,moscow
,RUB,3123193,38.098,70836529,35.971363313722996,75.38333333333334,49904457,moscow
,RUB,54131153,14.53,14435876,14.691967341973255,19.05,62550985,moscow
,RUB,40371096,3.921,87092766,3.981472465864078,8.333333333333334,2610189,moscow
,RUB,75540182,null,81255180,35.948133989313085,76.75,46664221,svo
,RUB,96261212,null,60656367,6.004582015861118,21.616666666666667,97873954,moscow
,RUB,26025772,26.466,71909025,22.525794216789752,30.233333333333334,9163574,zvenigorod
,RUB,23235860,10.842,59828083,12.945844246096419,33.45,93654793,moscow
,RUB,96261212,null,28786693,4.473755506800933,19.333333333333332,25216889,moscow
,RUB,68130991,4.671,3983192,4.969256365446334,10.933333333333334,10804612,serpukhov
,RUB,40371096,9.767,86965724,9.722391505146781,15.95,14401010,moscow
,RUB,12700954,6.677,05814776,6.682921663081657,16.3,40819012,serpukhov
,RUB,71032566,1.411,59347855,1.4368882221296764,3.8333333333333335,9943280,moscow
,RUB,3536466,14.811,56816557,14.142701526583572,23.283333333333335,91931946,moscow
,RUB,66809212,null,98586800,2.560303044785471,10.216666666666667,99251227,krasnogorsk
,RUB,96011964,5.447,80278806,5.461704215441409,8.15,1198162,moscow
,RUB,65921239,null,76941708,1.3369708941121947,6.433333333333334,4962664,moscow
,RUB,3636635,null,8246393,2.191606160680838,7.466666666666667,16421646,moscow
,RUB,36931055,null,34334856,34.513367006341916,54.4,5083210,moscow
,RUB,2233476,8.469,811559,8.710203709007034,10.116666666666667,87410290,himki
,RUB,46395068,17.95,9385033,18.82314027317156,31.633333333333333,32789824,moscow
,RUB,83844849,null,764128,2.226745058205627,5.583333333333333,65757162,moscow
,RUB,40454339,13.554,60326569,4.828724464023728,18.483333333333334,914128,moscow
,RUB,74391989,39.902,40561467,37.15014411127988,64.68333333333334,31595903,ramenskoe
,RUB,52299060,14.426,90940141,14.195138138236958,26.15,72315620,moscow
,RUB,56872166,2.425,7814974,2.404678026909384,9.95,886617,moscow
,RUB,54727714,2.639,18122393,2.6686826982778995,8.65,01877492,moscow
,RUB,56829931,4.747,5228985,4.401539463839208,11.933333333333334,24956303,odincovo
,RUB,73632113,19.013,95385953,14.588610172314905,28.3,66562489,dolgoprudniy
,RUB,36098567,null,86003457,0.848105909331525,9.033333333333333,08531153,moscow
,RUB,92121386,6.007,3658687,6.0512017059899375,11.05,33477079,podolsk
,RUB,76028546,16.922,96503918,15.101526072407294,22.9,33455301,moscow
,RUB,668817,null,20405132,2.3396910851526265,7.25,47818252,moscow
,RUB,71032566,1.292,2143567,1.6487258744736388,5.666666666666667,33002720,moscow
,RUB,12700954,4.532,53344108,4.27298171192884,7.35,97313127,serpukhov
,RUB,03076344,1.529,93214802,1.967361337226408,6.65,16588303,dolgoprudniy
,RUB,782327,18.05,43160299,17.375882445070754,31.316666666666666,62778696,krasnogorsk
,RUB,90637045,5.186,06294467,6.311367153895686,11.333333333333334,56664594,balashiha
,RUB,54131153,null,43006288,16.190214283197076,31.283333333333335,05612545,moscow
,RUB,729088,2.029,69063784,2.1710055627187246,5.95,58488393,lyberci
,RUB,96261212,4.821,9713064,4.84803091684101,11.6,35616459,moscow
,RUB,03357926,1.993,20922807,2.63744333240032,9.466666666666667,23464683,moscow
,RUB,65921239,7.255,79583087,2.8829178189986764,5.283333333333333,61967689,moscow
,RUB,2233476,24.095,87322928,23.664679035966696,40.31666666666667,8583924,moscow
,RUB,48955393,8.727,18440719,8.413544708413577,23.233333333333334,87151721,moscow
,RUB,07368533,null,5757062,40.77704571145971,80.03333333333333,95684726,moscow
