coef;guild;merchantid
0,17;Ассоциация Оливковых Торговцев;99600966
0,17;Братство Кузнецов;99578327
0,82;Братство Кузнецов;99574545
0,67;Ассоциация Оливковых Торговцев;99521018
0,39;Ассоциация Оливковых Торговцев;99520316
0,18;Гильдия Парфюмеров;99502967
0,54;Ассоциация Оливковых Торговцев;99488480
0,83;Гильдия Пекарей;99422709
0,68;Ассоциация Оливковых Торговцев;99407004
0,91;Гильдия Парфюмеров;99401592
0,32;Ассоциация Оливковых Торговцев;99382900
0,44;Гильдия Гончаров;99350086
0,33;Ассоциация Оливковых Торговцев;99336678
0,14;Ассоциация Оливковых Торговцев;99314783
0,78;Гильдия Пекарей;99314224
0,89;Гильдия Пекарей;99293772
0,43;Гильдия Августовских Торговцев;99279908
0,92;Гильдия Пекарей;99269237
0,71;Гильдия Гончаров;99239633
0,81;Братство Виноделов;99209343
0,41;Гильдия Гончаров;99202795
0,64;Гильдия Гончаров;99198051
0,71;Гильдия Гончаров;99197853
0,08;Гильдия Гончаров;99192418
0,05;Гильдия Пекарей;99173793
0,46;Ассоциация Оливковых Торговцев;99173779
0,49;Гильдия Гончаров;13126422
0,14;Ассоциация Оливковых Торговцев;99136759
0,81;Гильдия Гончаров;11843484
0,23;Ассоциация Оливковых Торговцев;99060096
0,3;Союз Скотоводов;99036048
0,75;Гильдия Пекарей;99033871
0,13;Лига Керамистов;99024734
0,31;Гильдия Гончаров;99013096
0,53;Ассоциация Оливковых Торговцев;106854076
0,92;Ассоциация Оливковых Торговцев;98987429
0,75;Гильдия Пекарей;106850862
0,4;Ассоциация Оливковых Торговцев;106847273
0,91;Гильдия Гончаров;106845936
0,88;Ассоциация Оливковых Торговцев;106842151
0,43;Ассоциация Оливковых Торговцев;106818717
0,62;Гильдия Августовских Торговцев;106813522
0,27;Ассоциация Оливковых Торговцев;98964584
0,11;Гильдия Пекарей;98954037
0,38;Гильдия Пекарей;106746666
0,83;Гильдия Пекарей;106722142
0,61;Гильдия Гончаров;98918574
0,8;Ассоциация Оливковых Торговцев;106666712
0,12;Гильдия Гончаров;106658612
0,71;Ассоциация Оливковых Торговцев;106654230
0,91;Ассоциация Оливковых Торговцев;106636106
0,6;Объединение Рыбаков;106589971
0,09;Гильдия Гончаров;9750989
0,69;Гильдия Августовских Торговцев;106551280
0,63;Гильдия Гончаров;106544194
0,07;Гильдия Гончаров;106529860
0,72;Ассоциация Оливковых Торговцев;106525717
0,45;Ассоциация Оливковых Торговцев;106475488
0,8;Ассоциация Оливковых Торговцев;106459494
0,86;Гильдия Августовских Торговцев;98899585
0,55;Гильдия Пекарей;98880284
0,72;Гильдия Августовских Торговцев;106429336
0,28;Гильдия Гончаров;9504738
0,28;Ассоциация Оливковых Торговцев;9457812
0,68;Ассоциация Оливковых Торговцев;98839962
0,93;Ассоциация Оливковых Торговцев;98834063
0,47;Ассоциация Оливковых Торговцев;98821641
0,8;Ассоциация Оливковых Торговцев;106408482
0,43;Гильдия Гончаров;106348980
0,25;Ассоциация Оливковых Торговцев;106321146
0,12;Ассоциация Оливковых Торговцев;106254247
0,57;Гильдия Августовских Торговцев;106234177
0,65;Гильдия Пекарей;9255431
0,27;Братство Виноделов;9243510
0,6;Ассоциация Оливковых Торговцев;9216584
0,86;Гильдия Августовских Торговцев;106224720
0,5;Ассоциация Оливковых Торговцев;106180699
0,47;Ассоциация Оливковых Торговцев;106168459
0,83;Ассоциация Оливковых Торговцев;106166304
0,49;Гильдия Гончаров;106157284
0,05;Ассоциация Оливковых Торговцев;106150320
0,24;Гильдия Пекарей;106147625
0,74;Ассоциация Оливковых Торговцев;9178287
0,57;Ассоциация Оливковых Торговцев;106084595
0,57;Ассоциация Оливковых Торговцев;106056551
0,29;Ассоциация Оливковых Торговцев;106016198
0,71;Союз Скотоводов;106011368
0,11;Гильдия Обработчиков Шерсти;105999177
0,16;Гильдия Гончаров;105972469
0,56;Гильдия Гончаров;105970084
0,54;Гильдия Обработчиков Шерсти;105955138
0,55;Ассоциация Оливковых Торговцев;105942968
0,71;Ассоциация Оливковых Торговцев;9032562
0,91;Гильдия Гончаров;105895315
0,21;Гильдия Августовских Торговцев;105891209
0,18;Гильдия Августовских Торговцев;105819684
0,54;Гильдия Гончаров;8880901
0,74;Гильдия Пекарей;105803814
0,52;Гильдия Гончаров;105802908
0,83;Гильдия Августовских Торговцев;105764939
0,26;Гильдия Августовских Торговцев;98739037
0,25;Гильдия Августовских Торговцев;105735511
0,89;Гильдия Гончаров;45093446
0,72;Ассоциация Оливковых Торговцев;44930826
0,3;Братство Поставщиков Специй;105697551
0,14;Гильдия Августовских Торговцев;105691705
0,45;Ассоциация Оливковых Торговцев;105673757
0,59;Ассоциация Оливковых Торговцев;44687664
0,39;Гильдия Пекарей;105625789
0,06;Гильдия Пекарей;105625751
0,13;Ассоциация Оливковых Торговцев;105610714
0,39;Братство Кузнецов;105601648
0,6;Гильдия Гончаров;105581199
0,73;Ассоциация Оливковых Торговцев;105569513
0,37;Братство Кузнецов;105550361
0,08;Гильдия Гончаров;8427119
0,58;Гильдия Гончаров;44261853
0,09;Ассоциация Оливковых Торговцев;44063258
0,54;Гильдия Гончаров;105534263
0,26;Братство Виноделов;43533545
0,24;Гильдия Обработчиков Шерсти;105476999
0,57;Гильдия Пекарей;98707927
0,2;Ассоциация Оливковых Торговцев;105454136
0,89;Гильдия Пекарей;105451551
0,62;Ассоциация Оливковых Торговцев;105450381
0,11;Гильдия Пекарей;98682736
0,79;Ассоциация Оливковых Торговцев;98672252
0,5;Гильдия Гончаров;8387912
0,13;Ассоциация Оливковых Торговцев;105423879
0,25;Ассоциация Оливковых Торговцев;105423869
0,58;Объединение Фруктовых Садовников;99413249
0,09;Братство Кузнецов;105422077
0,78;Ассоциация Оливковых Торговцев;105406676
0,5;Ассоциация Оливковых Торговцев;105400368
0,53;Гильдия Гончаров;98934060
0,97;Гильдия Августовских Торговцев;8285957
0,09;Гильдия Гончаров;8248996
0,07;Гильдия Гончаров;8243846
0,77;Ассоциация Оливковых Торговцев;105374757
0,85;Ассоциация Оливковых Торговцев;42214936
0,94;Гильдия Августовских Торговцев;105335242
0,84;Гильдия Гончаров;105312971
0,85;Ассоциация Оливковых Торговцев;105304871
0,07;Ассоциация Оливковых Торговцев;8240168
0,96;Гильдия Гончаров;98663207
0,18;Гильдия Гончаров;46107593
0,18;Ассоциация Оливковых Торговцев;302917727
0,73;Ассоциация Оливковых Торговцев;98656011
0,64;Ассоциация Оливковых Торговцев;98654643
0,37;Гильдия Гончаров;89946310
0,22;Братство Кузнецов;98652064
0,87;Братство Виноделов;105283451
0,97;Братство Поставщиков Специй;106054173
0,94;Гильдия Гончаров;105256626
0,56;Гильдия Гончаров;98610462
0,37;Ассоциация Оливковых Торговцев;105906729
0,13;Гильдия Пекарей;105246911
0,17;Ассоциация Оливковых Торговцев;105233061
0,21;Ассоциация Оливковых Торговцев;95230448
0,96;Ассоциация Оливковых Торговцев;41698709
0,85;Братство Поставщиков Специй;105194397
0,69;Гильдия Гончаров;41526986
0,25;Ассоциация Оливковых Торговцев;98570811
0,43;Ассоциация Оливковых Торговцев;41448765
0,38;Ассоциация Оливковых Торговцев;98136671
0,41;Гильдия Пекарей;98135498
0,43;Братство Поставщиков Специй;41006801
0,13;Союз Судостроителей;105026272
0,58;Ассоциация Оливковых Торговцев;40894432
0,87;Гильдия Гончаров;104980684
0,54;Ассоциация Оливковых Торговцев;300108689
0,11;Гильдия Пекарей;98053840
0,9;Гильдия Пекарей;104951942
0,54;Гильдия Мукомолов;98019683
0,71;Гильдия Августовских Торговцев;104898478
0,23;Союз Скотоводов;105745499
0,84;Ассоциация Оливковых Торговцев;58091265
0,68;Союз Судостроителей;97987833
0,36;Ассоциация Оливковых Торговцев;97405009
0,61;Ассоциация Оливковых Торговцев;104874405
0,85;Братство Кузнецов;97966319
0,69;Гильдия Пекарей;97949424
0,18;Братство Кузнецов;97943637
0,53;Гильдия Пекарей;97933707
0,3;Гильдия Августовских Торговцев;106150076
0,75;Союз Каменотесов;55981487
0,55;Гильдия Августовских Торговцев;97924772
0,22;Гильдия Гончаров;97911576
0,72;Гильдия Гончаров;106150218
0,08;Ассоциация Оливковых Торговцев;104853003
0,98;Ассоциация Оливковых Торговцев;104803922
0,55;Ассоциация Оливковых Торговцев;8196661
0,49;Гильдия Гончаров;97866614
0,18;Ассоциация Оливковых Торговцев;97837669
0,78;Гильдия Августовских Торговцев;40674135
