Регион ,Федеральный округ,дата,случаи заболевания,население,количество смертей
Республика Бурятия,Дальневосточный федеральный округ,25.02.2020,,986109,
Алтайский край,Сибирский федеральный округ,25.02.2020,,2317052,
Амурская область,Дальневосточный федеральный округ,25.02.2020,,790676,
Архангельская область,Северо-Западный федеральный округ,25.02.2020,,1092277,
Астраханская область,Южный федеральный округ,25.02.2020,,1005967,
Белгородская область,Центральный федеральный округ,25.02.2020,,1547532,
Брянская область,Центральный федеральный округ,25.02.2020,,1192570,
Владимирская область,Центральный федеральный округ,25.02.2020,,1358538,
Волгоградская область,Южный федеральный округ,25.02.2020,,2491751,
Вологодская область,Северо-Западный федеральный округ,25.02.2020,,1160721,
Воронежская область,Центральный федеральный округ,25.02.2020,,2323657,
Еврейская автономная область,Дальневосточный федеральный округ,25.02.2020,,158381,
Забайкальский край,Дальневосточный федеральный округ,25.02.2020,,1059657,
Ивановская область,Центральный федеральный округ,25.02.2020,,997196,
Иркутская область,Сибирский федеральный округ,25.02.2020,,2390827,
Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,25.02.2020,,868174,
Калининградская область,Северо-Западный федеральный округ,25.02.2020,,1012253,
Калужская область,Центральный федеральный округ,25.02.2020,,1000070,
Камчатский край,Дальневосточный федеральный округ,25.02.2020,,312438,
Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,25.02.2020,,465669,
Кемеровская область,Сибирский федеральный округ,25.02.2020,,2657758,
Кировская область,Приволжский федеральный округ,25.02.2020,,1262549,
Костромская область,Центральный федеральный округ,25.02.2020,,633392,
Краснодарский край,Южный федеральный округ,25.02.2020,,5677786,
Красноярский край,Сибирский федеральный округ,25.02.2020,,2867875,
Курганская область,Уральский федеральный округ,25.02.2020,,826941,
Курская область,Центральный федеральный округ,25.02.2020,,1103059,
Ленинградская область,Северо-Западный федеральный округ,25.02.2020,,1876392,
Липецкая область,Центральный федеральный округ,25.02.2020,,1139492,
Магаданская область,Дальневосточный федеральный округ,25.02.2020,,140199,
Москва ,Центральный федеральный округ,25.02.2020,,12692466,
Московская обл.,Центральный федеральный округ,25.02.2020,,7687647,
Мурманская область,Северо-Западный федеральный округ,25.02.2020,,741511,
Ненецкий АО,Северо-Западный федеральный округ,25.02.2020,,44110,
Нижегородская область,Приволжский федеральный округ,25.02.2020,,3203818,
Новгородская область,Северо-Западный федеральный округ,25.02.2020,,596173,
Новосибирская область,Сибирский федеральный округ,25.02.2020,,2798251,
Омская область,Сибирский федеральный округ,25.02.2020,,1926562,
Оренбургская область,Приволжский федеральный округ,25.02.2020,,1956256,
Орловская область,Центральный федеральный округ,25.02.2020,,733682,
Пензенская область,Приволжский федеральный округ,25.02.2020,,1304825,
Пермский край,Приволжский федеральный округ,25.02.2020,,2599301,
Приморский край,Дальневосточный федеральный округ,25.02.2020,,1895305,
Псковская область,Северо-Западный федеральный округ,25.02.2020,,626046,
Республика Адыгея,Южный федеральный округ,25.02.2020,,463453,
Республика Алтай,Сибирский федеральный округ,25.02.2020,,220140,
Республика Башкортостан,Приволжский федеральный округ,25.02.2020,,4037811,
Республика Дагестан,Северо-Кавказский федеральный округ,25.02.2020,,3111353,
Республика Ингушетия,Северо-Кавказский федеральный округ,25.02.2020,,506688,
Республика Калмыкия,Южный федеральный округ,25.02.2020,,271035,
Республика Карелия,Северо-Западный федеральный округ,25.02.2020,,614628,
Республика Коми,Северо-Западный федеральный округ,25.02.2020,,820171,
Республика Крым,Южный федеральный округ,25.02.2020,,1912025,
Республика Марий Эл,Приволжский федеральный округ,25.02.2020,,679094,
Республика Мордовия,Приволжский федеральный округ,25.02.2020,,790829,
Республика Саха (Якутия),Дальневосточный федеральный округ,25.02.2020,,970105,
Республика Северная Осетия — Алания,Северо-Кавказский федеральный округ,25.02.2020,,697064,
Республика Татарстан,Приволжский федеральный округ,25.02.2020,,3902642,
Республика Тыва,Сибирский федеральный округ,25.02.2020,,327388,
Республика Хакасия,Сибирский федеральный округ,25.02.2020,,534186,
Республика Чувашия,Приволжский федеральный округ,25.02.2020,,1217820,
Ростовская область,Южный федеральный округ,25.02.2020,,4195327,
Рязанская область,Центральный федеральный округ,25.02.2020,,1108924,
Самарская область,Приволжский федеральный округ,25.02.2020,,3179026,
Санкт-Петербург,Северо-Западный федеральный округ,25.02.2020,,5392992,
Саратовская область,Приволжский федеральный округ,25.02.2020,,2421785,
Сахалинская область,Дальневосточный федеральный округ,25.02.2020,,488453,
Свердловская область,Уральский федеральный округ,25.02.2020,,4310861,
Севастополь,Южный федеральный округ,25.02.2020,,448829,
Смоленская область,Центральный федеральный округ,25.02.2020,,934747,
Ставропольский край,Северо-Кавказский федеральный округ,25.02.2020,,2803021,
Тамбовская область,Центральный федеральный округ,25.02.2020,,1006962,
Тверская область,Центральный федеральный округ,25.02.2020,,1260345,
Томская область,Сибирский федеральный округ,25.02.2020,,1079051,
Тульская область,Центральный федеральный округ,25.02.2020,,1466025,
Тюменская область,Уральский федеральный округ,25.02.2020,,1537684,
Удмуртская Республика,Приволжский федеральный округ,25.02.2020,,1501005,
Ульяновская область,Приволжский федеральный округ,25.02.2020,,1229687,
Хабаровский край,Дальневосточный федеральный округ,25.02.2020,,1315310,
Ханты-Мансийский АО,Уральский федеральный округ,25.02.2020,,1674086,
Челябинская область,Уральский федеральный округ,25.02.2020,,3466960,
Чеченская Республика,Северо-Кавказский федеральный округ,25.02.2020,,1476752,
Чукотский АО,Дальневосточный федеральный округ,25.02.2020,,50726,
Ямало-Ненецкий автономный округ,Уральский федеральный округ,25.02.2020,,544008,
Ярославская область,Центральный федеральный округ,25.02.2020,,1253189,
Алтайский край,Сибирский федеральный округ,06.03.2020,,2317052,
Амурская область,Дальневосточный федеральный округ,06.03.2020,,790676,
Архангельская область,Северо-Западный федеральный округ,06.03.2020,,1092277,
Астраханская область,Южный федеральный округ,06.03.2020,,1005967,
Белгородская область,Центральный федеральный округ,06.03.2020,,1547532,
Брянская область,Центральный федеральный округ,06.03.2020,,1192570,
Владимирская область,Центральный федеральный округ,06.03.2020,,1358538,
Волгоградская область,Южный федеральный округ,06.03.2020,,2491751,
Вологодская область,Северо-Западный федеральный округ,06.03.2020,,1160721,
Воронежская область,Центральный федеральный округ,06.03.2020,,2323657,
Еврейская автономная область,Дальневосточный федеральный округ,06.03.2020,,158381,
Забайкальский край,Дальневосточный федеральный округ,06.03.2020,,1059657,
Ивановская область,Центральный федеральный округ,06.03.2020,,997196,
