Year;Average population;Live births;Deaths;Natural change;Crude birth rate (per 1000);Crude death rate (per 1000);Natural change (per 1000);Fertility rates
1927;94596000;4688000;2705000;1983000;43.6;20.9;22.7;6.729
1928;96654000;4723000;2589000;2134000;43.3;21.2;22.1;6.556
1929;98644000;4633000;2819000;1814000;42.2;22.8;19.4;6.227
1930;100419000;4413000;2738000;1675000;39.3;22.6;16.7;5.834
1931;101948000;4412000;3090000;1322000;39.9;26.9;13.0;5.626
1932;103136000;4058000;3077000;981000;39.3;29.8;9.5;5.093
1933;102706000;3313000;5239000;-1926000;32.3;51.0;-18.8;4.146
1934;102922000;2923000;2659000;264000;28.7;26.1;2.6;3.566
1935;102684000;3577000;2421000;1156000;34.8;23.6;11.3;4.305
1936;103904000;3899000;2719000;1180000;37.5;26.2;11.4;4.535
1937;105358000;4377000;2760000;1617000;41.5;26.2;15.3;5.079
1938;107044000;4379000;2739000;1640000;40.9;25.6;15.3;4.989
1939;108785000;4329000;2600000;1729000;39.8;23.9;15.9;4.907
1940;110333000;3814000;2561000;1253000;34.6;23.2;11.4;4.260
1946;98028000;2546000;1210000;1336000;26.0;12.3;13.6;2.806
1947;98834000;2715000;1680000;1035000;27.5;17.0;10.5;2.938
1948;99706000;2516000;1310000;1206000;25.2;13.1;12.1;2.604
1949;101160000;3089000;1187000;1902000;30.5;11.7;18.8;3.205
1950;102833000;2859000;1180000;1679000;27.8;11.5;16.7;2.889
1951;104439000;2938000;1210000;1728000;28.1;11.6;17.0;2.918
1952;106164000;2928000;1138000;1790000;27.6;10.7;17.0;2.871
1953;107828000;2822000;1118000;1704000;26.2;10.4;15.7;2.733
1954;109643000;3048000;1133000;1915000;27.8;10.3;17.6;2.970
1955;111572000;2942000;1037000;1905000;26.4;9.3;17.2;2.818
1956;113327000;2827000;956000;1871000;24.9;8.4;16.8;2.731
1957;115035000;2880000;1017000;1863000;25.0;8.8;16.7;2.750
1958;116749000;2861000;931000;1930000;24.5;8.0;17.0;2.689
1959;118307000;2796228;920225;1876003;23.6;7.8;15.9;2.58
1960;119906000;2782353;886090;1896263;23.2;7.4;15.8;2.56
1961;121586000;2662135;901637;1760498;21.9;7.4;14.5;2.47
1962;123128000;2482539;949648;1532891;20.2;7.7;12.4;2.36
1963;124514000;2331505;932055;1399450;18.7;7.5;11.2;2.31
1964;125744000;2121994;901751;1220243;16.9;7.2;9.7;2.19
1965;126749000;1990520;958789;1031731;15.7;7.6;8.1;2.14
1966;127608000;1957763;974299;983464;15.3;7.6;7.7;2.13
1967;128361000;1851041;1017034;834007;14.4;7.9;6.5;2.03
1968;129037000;1816509;1040096;776413;14.1;8.1;6.0;1.98
1969;129660000;1847592;1106640;740952;14.2;8.5;5.7;1.99
