Time,Date,GDP,GDPgr,M0,M0gr,BM,BMgr,Interest,USDRUB,EURRUB,Unemployment,PPI,PPIgr,OIL,OILgr,WAGE,WAGEgr,CPI,Inflation
1,01.01.2005,15883.74107,1.71804915,1534.755,18.6367065,5288.74,14.23,4.560,27.7487,37.8409,8.20000000000000,40.33313668902150,2.212723367,53.22,31.79791976,7638.00,0.738591401,105.27,5.27
2,01.04.2005,16125.53849,1.49946883,1481.698,-3.4570339,5487.113,3.75,6.390,27.8548,36.0274,7.40000000000000,41.48579069233120,2.857833776,55.36,4.02104472,8234.00,7.803089814,102.58,2.58
3,01.07.2005,16409.70353,1.731689036,1650.743,11.4088701,6006.595,9.47,5.660,28.6282,34.6258,7.16666666666667,42.12480719673960,1.540326203,61.70,11.45231214,8674.00,5.343696867,100.57,0.57
4,01.10.2005,16748.20953,2.021147427,1740.685,5.4485768,6442.792,7.26,7.100,28.5348,34.3074,7.46666666666667,42.71606984480500,1.40359728,58.34,-5.445705024,9651.00,11.26354623,102.12,2.12
5,01.01.2006,17071.55134,1.894038793,2009.24,15.4281217,7213.379,11.96,5.800,28.4821,34.3352,7.76666666666667,43.86847566474570,2.697827361,66.06,13.2327734,9397.00,-2.631851622,104.98,4.98
6,01.04.2006,17400.19645,1.888743675,1928.809,-4.0030559,7374.657,2.24,5.480,27.6996,33.6273,7.43333333333333,45.46317053908230,3.635172753,73.20,10.80835604,10401.00,10.68426093,101.11,1.11
7,01.07.2006,17799.72743,2.244590469,2233.366,15.7898994,8277.181,12.24,6.200,26.9423,34.2383,6.70000000000000,47.58943037153110,4.676884184,59.09,-19.27595628,10949.00,5.268724161,100.95,0.95
8,01.10.2006,18137.78707,1.863841677,2400.79732,7.4968151,8878.399,7.26,7.050,26.7948,33.9651,6.76666666666667,48.23592829355940,1.358490566,58.96,-0.220003385,12203.00,11.45310074,101.71,1.71
9,01.01.2007,18466.74321,1.781343579,2785.17426,16.0103869,10126.732,14.06,5.700,26.4465,34.4862,7.03333333333333,48.58791049555270,0.729709605,68.47,16.12957938,11876.00,-2.679668934,103.42,3.42
10,01.04.2007,18932.80654,2.461670592,2741.186,-1.5793719,10872.844,7.37,5.670,25.9947,34.7107,6.03333333333333,51.62645072908590,6.253696038,72.22,5.476851176,12993.00,9.405523745,102.17,2.17
11,01.07.2007,19350.29583,2.157534366,3027.529,10.4459530,12011.673,10.47,7.700,25.7288,34.8368,5.63333333333333,53.40791166978620,3.45067483,80.97,12.11575741,13494.00,3.85592242,101.76,1.76
12,01.10.2007,19968.3118,3.09498358,3220.86,6.3857687,12675.347,5.53,7.450,24.8784,35.4443,5.80000000000000,55.93643687594150,4.734364492,93.68,15.69717179,15742.00,16.65925597,104.05,4.05
13,01.01.2008,20498.10542,2.584597996,3702.2,14.9444558,14288.7,12.73,6.940,24.4387,35.9762,6.73333333333333,58.20636291328550,4.05804546,102.33,9.233561059,15424.00,-2.020073688,104.78,4.78
14,01.04.2008,20625.52213,0.617762369,3475.5,-6.1233861,14572.3,1.98,8.020,23.5027,37.0873,5.66666666666667,64.29781000084150,10.46525978,138.40,35.24870517,16962.00,9.971473029,103.79,3.79
15,01.07.2008,20318.06395,-1.513225778,3724.9,7.1759459,15597,7.03,9.680,23.4068,36.9710,5.90000000000000,68.72272911161330,6.881912635,93.52,-32.42774566,17556.00,3.501945525,101.68,1.68
16,01.10.2008,19657.27754,-3.361535735,3904.2,4.8135520,15802.4,1.32,23.100,25.3718,36.4999,7.13333333333333,62.54508230112020,-8.989233825,35.82,-61.69803251,18966.00,8.031442242,102.45,2.45
17,01.01.2009,18963.96895,-3.655925587,3794.8,-2.8021105,16307.6,3.20,14.800,29.3916,41.4275,9.10000000000000,58.46496208209690,-6.52348685,46.13,28.7828029,17441.00,-8.040704418,105.42,5.42
18,01.04.2009,18687.31104,-1.480458611,3278.3,-13.6107305,15842.2,-2.85,12.200,33.9032,44.8946,8.53333333333333,59.29822607048900,1.425236516,68.11,47.64795144,18419.00,5.607476636,101.87,1.87
19,01.07.2009,18764.00847,0.408747558,3522.5,7.4489827,16607.5,4.83,10.910,31.0385,43.8512,7.83333333333333,61.12997018290260,3.089036947,65.82,-3.362208193,18673.00,1.379010804,100.6,0.60
20,01.10.2009,18966.98034,1.070132739,3485.6,-1.0475515,17031.6,2.55,8.660,30.0087,43.8877,8.03333333333333,61.93219921094720,1.31233342,77.91,18.36827712,20670.00,10.69458577,100.7,0.70
21,01.01.2010,19372.58201,2.093689271,4038.1,15.8509295,19131.5,12.33,6.300,30.1851,43.4605,8.80000000000000,63.26341332559620,2.149470117,80.37,3.157489411,19485.00,-5.732946299,103.16,3.16
22,01.04.2010,19556.64073,0.941157137,3986.1,-1.2877343,19340.9,1.09,4.600,29.4956,39.5713,7.43333333333333,66.58928596891980,5.257181787,74.94,-6.756252333,20809.00,6.79497049,101.18,1.18
23,01.07.2010,19659.02219,0.520786144,4367.7,9.5732671,20590.4,6.46,4.300,31.2554,38.2097,6.80000000000000,67.60931602367560,1.531823085,80.77,7.779556979,21031.00,1.066846076,101.76,1.76
24,01.10.2010,19906.13217,1.241376179,4524.5,3.5899902,21348.7,3.68,4.690,30.5126,41.4392,6.90000000000000,71.05012163091530,5.089247769,93.23,15.42651975,23491.00,11.69701869,102.41,2.41
25,01.01.2011,20068.58443,0.809485349,5062.7,11.8952370,23820.7,11.58,4.540,30.3505,40.4876,7.35112317033333,73.95205177231940,4.084342257,116.94,25.43172798,21354.00,-9.097101017,103.81,3.81
26,01.04.2011,20317.7314,1.226253926,4918.2,-2.8542082,23638.5,-0.76,4.857,28.5162,40.3875,6.40454694133333,76.18993743423810,3.026130592,111.71,-4.472378998,23154.00,8.429334083,101.14,1.14
27,01.07.2011,20593.22143,1.337770401,5192.2,5.5711439,24459.2,3.47,5.813,27.8726,40.4153,6.11991759766667,77.42993879190380,1.62751329,105.42,-5.630650792,23352.00,0.85514382,99.71,-0.29
28,01.10.2011,20853.43203,1.247807093,5420.4,4.3950541,25689.7,5.03,7.420,32.1100,43.4191,6.12230668466666,78.52059692036160,1.408574184,108.09,2.532726238,26905.00,15.21497088,101.35,1.35
29,01.01.2012,21139.17858,1.351739142,5938.6,9.5601801,28485.9,10.88,6.932,31.8729,40.7591,6.28844686133333,77.42993879190380,-1.389008962,123.41,14.17337404,24407.00,-9.284519606,101.46,1.46
30,01.04.2012,21234.13603,0.44719245,5704.3,-3.9453743,28136.7,-1.23,7.400,29.3479,39.1677,5.34290644966667,78.37577924355390,1.221543587,94.17,-23.69337979,26547.00,8.7679764,101.73,1.73
31,01.07.2012,21343.36364,0.511763785,6003.9,5.2521782,29198.7,3.77,7.166,32.5287,41.0642,5.06880965533333,80.36249674725920,2.534861564,111.36,18.25422109,26127.00,-1.582099672,101.89,1.89
32,01.10.2012,21357.53941,0.066373615,5969.2,-0.5779577,29435.8,0.81,7.507,31.2538,40.1455,5.14786566800000,81.61154920972540,1.554272842,110.80,-0.502873563,30233.00,15.71554331,101.35,1.35
33,01.01.2013,21515.71209,0.735149657,6430.1,7.7213027,32205.7,9.41,7.800,30.4215,39.8096,5.80297169033333,80.74943147747970,-1.056367316,108.46,-2.111913357,27339.00,-9.572321635,101.89,1.89
34,01.04.2013,21588.99164,0.339430168,6181.4,-3.8677470,32626.9,1.31,7.700,31.1093,39.8168,5.38892584066667,80.27651125165460,-0.585663846,102.49,-5.504333395,30245.00,10.62950364,101.6,1.60
35,01.07.2013,21597.73714,0.040492648,6470.3,4.6736985,34139.4,4.64,7.700,32.8517,42.8025,5.24899886600000,81.85592903933840,1.967471883,107.85,5.229778515,29578.00,-2.205323194,101.17,1.17
36,01.10.2013,21722.50877,0.574388664,6414.4,-0.8639476,34518.2,1.11,7.413,32.4839,43.8143,5.50037894000000,82.22702433615800,0.453351762,109.95,1.947148818,33269.00,12.47886943,101.65,1.65
37,01.01.2014,21721.15415,-0.006236396,6985.6,8.9049638,37368.7,8.26,8.900,32.6587,45.0559,5.52744921466667,82.49403192777220,0.324719998,105.95,-3.638017281,30057.00,-9.654633443,102.32,2.32
38,01.04.2014,21825.95631,0.480172108,6608.2,-5.4025424,37066.9,-0.81,8.680,35.6053,48.9680,5.03677788033333,85.18673560591490,3.264119374,111.03,4.794714488,32963.00,9.668296903,102.44,2.44
39,01.07.2014,21756.58235,-0.318864218,6762.198,2.3304077,37179.8,0.30,9.000,33.8434,46.1827,4.86989679133333,87.70973106904860,2.961723378,94.67,-14.73475637,31730.00,-3.740557595,101.39,1.39
40,01.10.2014,21704.99497,-0.237675141,6959.3,2.9147623,38123.3,2.54,16.870,39.3836,49.9817,5.19587478800000,89.15564506092520,1.648521748,55.27,-41.61825288,35685.00,12.4645446,104.79,4.79
41,01.01.2015,21483.58946,-1.030579717,7171.469671,3.0487214,42909.56998,12.55,15.810,56.2376,68.3681,5.73960768600000,95.16557864844380,6.740945661,53.69,-2.858693686,31566.00,-11.54266499,107.44,7.44
42,01.04.2015,21339.30217,-0.676157471,6540.85531,-8.7933769,43203.60766,0.69,13.460,57.6500,62.0487,5.57871227100000,99.69791937728390,4.762584112,60.31,12.33004284,34703.00,9.937907876,101,1.00
43,01.07.2015,21380.59534,0.193133884,6659.495603,1.8138345,43719.46298,1.19,12.520,55.8413,62.3803,5.25526641266667,102.40193693642700,2.712210622,47.29,-21.58845963,32983.00,-4.956343832,101.73,1.73
44,01.10.2015,21325.60917,-0.257841074,6744.854183,1.2817574,46858.37606,7.18,12.800,65.7364,73.7760,5.69999245700000,102.73456503784500,0.324825986,36.61,-22.58405583,36692.00,11.24518691,102.28,2.28
45,01.01.2016,21366.14518,0.189720747,7239.145905,7.3284271,51370.08752,9.63,12.340,72.9299,79.6395,5.89143589866667,101.59186305678400,-1.112285802,36.75,0.382409178,34000.00,-7.336749155,102.07,2.07
46,01.04.2016,21377.60499,0.053606628,7142.89226,-1.3296271,50050.84439,-2.57,11.720,67.8552,76.9207,5.66047225966667,104.34566169233000,2.710648818,48.05,30.74829932,37404.00,10.01176471,101.21,1.21
47,01.07.2016,21399.19192,0.100877333,7372.70372,3.2173446,49963.2893,-0.17,10.700,64.1755,71.2926,5.25214034133333,106.53376627784600,2.096977057,48.24,0.395421436,35744.00,-4.438028018,100.72,0.72
48,01.10.2016,21575.88432,0.81893465,7412.196989,0.5356687,49543.70891,-0.84,10.450,63.3960,70.9338,5.35123288200000,107.54975279170000,0.95367558,54.96,13.93034826,39824.00,11.41450313,101.28,1.28
49,01.01.2017,21619.53737,0.201914846,7714.777071,4.0821916,50895.19546,2.73,10.580,59.8961,63.1125,5.55440683033333,110.74364601129100,2.969689039,52.20,-5.021834061,35983.00,-9.644937726,100.97,0.97
50,01.04.2017,21768.87801,0.686028174,7610.346801,-1.3536395,50668.18356,-0.45,8.750,55.9606,59.8107,5.20415480633333,110.31273687307000,-0.389105067,47.08,-9.808429119,40103.00,11.44985132,101.32,1.32
51,01.07.2017,21916.73739,0.674641409,7946.920837,4.4225847,52127.45554,2.88,8.670,59.3862,67.8072,5.01499818500000,110.58661981965700,0.248278625,57.02,21.11299915,37723.00,-5.934718101,99.38,-0.62
52,01.10.2017,21922.63054,0.026881547,8089.527215,1.7944860,51853.16477,-0.53,7.520,57.8134,67.9076,5.07624837266667,113.70523334879600,2.820064068,66.73,17.02911259,42797.00,13.45067996,100.84,0.84
53,01.01.2018,22215.79946,1.319641561,8446.033255,4.4070071,54667.11531,5.43,7.070,57.0463,68.2103,5.06528629700000,114.82231549888600,0.982436883,69.02,3.431739847,40691.00,-4.920905671,100.81,0.81
54,01.04.2018,22341.73384,0.56367329,8442.608964,-0.0405432,54727.19415,0.11,7.180,57.2850,70.6038,4.76022139000000,120.44305157998300,4.895160019,77.44,12.1993625,44477.00,9.304268757,101.26,1.26
55,01.07.2018,22400.66262,0.263067092,8945.487409,5.9564342,57208.09087,4.53,8.200,63.1394,73.4690,4.58946776333333,124.57488092140200,3.430525287,82.72,6.818181818,41830.00,-5.951390606,100.44,0.44
