<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;D;240502;000000;51.31;51.31;50.18;50.66;16144900
AFLT;D;240503;000000;50.6;50.67;49.68;50.25;16294350
AFLT;D;240506;000000;50.25;50.8;49.56;49.68;13824490
AFLT;D;240507;000000;49.78;49.85;49.2;49.57;9564260
AFLT;D;240508;000000;49.65;50.68;49.53;50.23;11607740
AFLT;D;240510;000000;50.27;51;50.27;50.85;9145530
AFLT;D;240513;000000;51.18;52.37;51.05;52.11;22440300
AFLT;D;240514;000000;52.19;54.36;51.71;54.19;59975530
AFLT;D;240515;000000;54.29;56.96;54.05;56.75;86628750
AFLT;D;240516;000000;56.91;57.1;55.04;55.92;61912110
AFLT;D;240517;000000;55.82;58.48;55.21;58;62560750
AFLT;D;240520;000000;58.02;59.43;57.26;58.17;67368770
AFLT;D;240521;000000;58.07;59.44;56.74;58.94;53474360
AFLT;D;240522;000000;59.2;59.59;57.6;58.01;28789520
AFLT;D;240523;000000;58.01;58.65;57.09;57.71;25371940
AFLT;D;240524;000000;57.81;58.5;56.88;58.13;32658650
AFLT;D;240527;000000;58;58.85;54.53;55.08;65247490
AFLT;D;240528;000000;55.05;56.45;53.9;55.82;36004130
AFLT;D;240529;000000;56;56.85;54.48;56.4;26074350
AFLT;D;240530;000000;56.94;57.7;55.41;56.22;43481990
AFLT;D;240531;000000;56.15;56.47;54.3;55.23;25721520
AFLT;D;240603;000000;55;55.33;51.64;53.68;52297700
AFLT;D;240604;000000;53.8;57.09;52.99;57;35833590
AFLT;D;240605;000000;57;58.47;56.16;56.7;40202940
AFLT;D;240606;000000;56.7;57.35;55.8;56.39;16035070
AFLT;D;240607;000000;56.4;59.26;56.26;58.51;30426410
AFLT;D;240610;000000;58.83;59.73;56.94;57.8;32492940
AFLT;D;240611;000000;57.8;59.24;56.74;58.94;31395590
AFLT;D;240613;000000;55.91;59.43;55;59.32;28799010
AFLT;D;240614;000000;59.8;62.84;59.52;62.82;92411610
AFLT;D;240617;000000;62.89;63.72;61.43;61.96;66320530
AFLT;D;240618;000000;61.83;63.46;60.91;61.6;65754160
AFLT;D;240619;000000;61.68;62.55;60.05;62.03;48744100
AFLT;D;240620;000000;62.12;64.75;60.95;64.4;72446770
AFLT;D;240621;000000;64.69;64.75;63.3;63.97;28401740
AFLT;D;240624;000000;63.99;64.36;62.87;63.32;20400890
AFLT;D;240625;000000;63.2;63.54;62.1;62.45;19679730
AFLT;D;240626;000000;62.68;64.42;62.65;64.2;25705290
AFLT;D;240627;000000;64.36;64.44;63;63.07;20748380
AFLT;D;240628;000000;63.1;63.5;62.42;62.72;11254550
AFLT;D;240701;000000;62.75;62.79;60.95;61.2;25304780
AFLT;D;240702;000000;61.14;62.3;60.13;61.21;30117260
AFLT;D;240703;000000;61.38;62.1;60.3;60.91;15820230
AFLT;D;240704;000000;60.65;61;58.85;59.04;25581310
AFLT;D;240705;000000;58.88;59.6;57.54;58.45;30078070
AFLT;D;240708;000000;58.21;58.38;56.21;56.45;26260420
AFLT;D;240709;000000;56.35;56.82;52.9;53.78;58665320
AFLT;D;240710;000000;53.7;55.13;52.1;52.33;56524990
AFLT;D;240711;000000;52.48;56.73;52.43;56.73;54618590
AFLT;D;240712;000000;56.66;56.97;54.61;55.4;39130310
AFLT;D;240715;000000;55.6;55.87;53.4;54.18;28534690
AFLT;D;240716;000000;54.11;55.2;52.71;55.11;33864270
AFLT;D;240717;000000;55.14;55.87;53.91;54.51;22013460
AFLT;D;240718;000000;54.54;56.57;54.03;56.28;23887640
AFLT;D;240719;000000;56.43;56.94;55.53;56.29;23758990
AFLT;D;240722;000000;56.76;58.3;56.61;58.17;36761130
AFLT;D;240723;000000;58.2;58.5;56.7;57.12;21281690
AFLT;D;240724;000000;57.12;58.02;56.7;57.46;16108730
AFLT;D;240725;000000;57.46;58.87;57.1;58.06;17092770
AFLT;D;240726;000000;58.1;58.73;55;55.47;42559840
AFLT;D;240729;000000;55.19;55.19;51.82;51.99;72617300
AFLT;D;240730;000000;51.97;54.31;50.9;53.98;92654890
AFLT;D;240731;000000;54.13;55.2;53.01;55;45194910
AFLT;D;240801;000000;55.02;55.66;53.55;53.72;30266200
AFLT;D;240802;000000;53.47;53.98;52.5;53.78;32430280
AFLT;D;240805;000000;52.8;53.29;51.56;52.38;38399930
AFLT;D;240806;000000;52.89;53.58;51.25;52.05;38972290
AFLT;D;240807;000000;52.13;52.36;50.14;51.29;72267980
AFLT;D;240808;000000;51.6;52.2;50.04;50.39;42767140
AFLT;D;240809;000000;50.19;51.2;49.85;51.09;38632250
AFLT;D;240812;000000;51.01;51.45;50.2;51.14;25392820
AFLT;D;240813;000000;51.26;51.82;50.9;51.72;19620140
AFLT;D;240814;000000;51.73;52.2;50.25;50.39;24302940
AFLT;D;240815;000000;50.38;50.38;48.92;49.04;40505330
AFLT;D;240816;000000;49;49.84;48.77;49.16;34380520
AFLT;D;240819;000000;49.33;49.75;48.71;49.4;35112110
AFLT;D;240820;000000;49.45;50.3;48.96;49.14;25488740
AFLT;D;240821;000000;49.29;49.43;47.5;48.04;33750320
AFLT;D;240822;000000;48.03;48.85;46.52;46.65;35373190
AFLT;D;240823;000000;46.6;47.25;45.15;46.45;36274860
AFLT;D;240826;000000;48.5;49.59;47.14;49.53;35865030
AFLT;D;240827;000000;49.5;49.52;47.72;48.38;28082320
AFLT;D;240828;000000;48.18;50.63;47.48;50.42;49224990
AFLT;D;240829;000000;50.29;51.07;48.61;49.49;70424770
AFLT;D;240830;000000;49.6;49.77;46.7;47.12;39205830
AFLT;D;240902;000000;46.95;47.03;44;44.75;37991560
AFLT;D;240903;000000;44.84;47.27;44.05;46.05;49037250
AFLT;D;240904;000000;46.26;48.87;45.22;48.41;70516090
AFLT;D;240905;000000;48.65;49.15;47.51;47.71;34617510
AFLT;D;240906;000000;47.58;48.89;47.26;48.42;25364690
AFLT;D;240909;000000;48.46;50.32;48.45;50.31;28708540
AFLT;D;240910;000000;50.32;50.72;48.05;48.84;29198970
AFLT;D;240911;000000;48.9;49.06;47.51;47.82;18108590
AFLT;D;240912;000000;47.79;48.13;46.56;47.65;23666950
AFLT;D;240913;000000;47.65;48.6;46.46;48.01;36941180
AFLT;D;240916;000000;48.43;49.49;48.12;49.29;22531680
AFLT;D;240917;000000;49.48;51.98;49.1;51.78;43102800
AFLT;D;240918;000000;51.63;51.97;50.52;51.27;37563900
AFLT;D;240919;000000;51.4;52.86;51.01;52.19;33140680
AFLT;D;240920;000000;52.31;53.17;52.19;52.83;23643130
AFLT;D;240923;000000;52.97;55.14;52.95;55;39246870
AFLT;D;240924;000000;55.2;55.28;53.51;54.35;34006470
AFLT;D;240925;000000;54.3;54.88;53.3;53.84;29517180
AFLT;D;240926;000000;53.35;53.79;52.6;53.22;21873380
AFLT;D;240927;000000;53.21;54.79;52.81;54.57;23580490
AFLT;D;240930;000000;54.94;55.74;54;54.05;32439040
AFLT;D;241001;000000;53.87;54.55;53.36;54.03;21051520
AFLT;D;241002;000000;54.03;54.49;52.22;52.63;21550440
AFLT;D;241003;000000;52.45;53.11;51.22;52.77;29854260
AFLT;D;241004;000000;53.18;53.29;52.18;53.18;15083690
AFLT;D;241007;000000;53.35;54.01;52.63;53.35;18217580
AFLT;D;241008;000000;53.53;53.65;52.7;53.32;14031060
AFLT;D;241009;000000;53.33;54.1;53.05;53.95;20813210
AFLT;D;241010;000000;54.15;54.31;53.53;54.13;17784470
AFLT;D;241011;000000;54.14;55;53.67;54.88;27380060
AFLT;D;241014;000000;54.7;56.88;54.7;56.43;40407230
AFLT;D;241015;000000;56.3;58.06;55.94;57.55;29972700
AFLT;D;241016;000000;57.59;57.9;56.07;56.88;26203780
AFLT;D;241017;000000;56.75;57.39;55.83;56.25;22955520
AFLT;D;241018;000000;56.19;57.61;55.82;57.6;23587700
AFLT;D;241021;000000;57.67;58.45;57.17;57.56;21945140
AFLT;D;241022;000000;57.55;57.77;56.82;56.96;11799870
AFLT;D;241023;000000;56.91;57.39;56.24;56.48;15504410
AFLT;D;241024;000000;56.41;57.2;56.02;57.07;12354120
AFLT;D;241025;000000;57.2;58.09;55.36;55.8;44343090
AFLT;D;241028;000000;55;55.19;53.12;53.92;39567090
AFLT;D;241029;000000;53.94;56.79;53.53;56.11;53108100
AFLT;D;241030;000000;56.34;57.39;53.4;53.42;61420260
AFLT;D;241031;000000;53.34;54.74;53.2;54.22;48611510
AFLT;D;241101;000000;54.2;55.05;53.7;54.97;30461070
AFLT;D;241102;000000;54.85;56;54.62;55.99;16753640
AFLT;D;241105;000000;56.05;56.08;55;55.33;15964960
AFLT;D;241106;000000;57.9;59.79;56.59;56.93;100961380
AFLT;D;241107;000000;56.92;59.2;56.13;59.02;42564720
AFLT;D;241108;000000;59.31;60.89;58.34;60.73;56554650
AFLT;D;241111;000000;61.27;62.39;61.01;62.03;52694010
AFLT;D;241112;000000;61.95;61.95;60.68;61.03;33319050
AFLT;D;241113;000000;60.68;62.08;60.6;61.16;24011640
AFLT;D;241114;000000;61.03;61.85;60.88;61.53;21085130
AFLT;D;241115;000000;61.44;63.86;61.35;63.86;72254890
AFLT;D;241118;000000;62.06;63;61.53;62.08;37022310
AFLT;D;241119;000000;62;62.39;59.21;59.95;49710820
AFLT;D;241120;000000;60.17;60.57;57.1;58.15;49930000
AFLT;D;241121;000000;58.11;60;57.06;59.7;40965570
AFLT;D;241122;000000;59.6;60;58.2;58.82;27673240
AFLT;D;241125;000000;58.68;59.12;56.71;57.55;29876150
AFLT;D;241126;000000;57.41;58.33;56;56.6;34669080
AFLT;D;241127;000000;56.6;57.48;54.01;56.79;53734680
AFLT;D;241128;000000;56.8;56.99;54.23;54.88;50058890
AFLT;D;241129;000000;54.71;55.13;52.02;52.15;90327780
AFLT;D;241202;000000;52.42;52.97;50.1;50.51;64256980
AFLT;D;241203;000000;50.5;50.5;48.31;48.52;51609540
AFLT;D;241204;000000;48.61;50.38;47.28;48.52;91725410
AFLT;D;241205;000000;48.5;50.59;47.67;50.15;71717460
AFLT;D;241206;000000;50.43;51.19;49.68;50.86;41722750
AFLT;D;241209;000000;51.4;51.9;50.86;51.18;31487810
AFLT;D;241210;000000;51.08;51.08;49.31;49.8;33215600
AFLT;D;241211;000000;49.58;50.47;49.3;49.97;21387110
AFLT;D;241212;000000;49.92;50.4;48.5;48.54;27492590
AFLT;D;241213;000000;48.45;48.84;47.59;48.28;24539140
AFLT;D;241216;000000;48.09;48.19;46.83;47.7;25518290
AFLT;D;241217;000000;47.51;48.24;46.5;47.67;25529200
AFLT;D;241218;000000;47.87;49.35;47.35;49.3;27701960
AFLT;D;241219;000000;49.51;50.79;48.9;50.12;39582190
AFLT;D;241220;000000;50.06;55.36;49.78;54.95;76582320
AFLT;D;241223;000000;55.8;56.47;54.15;56.09;52808250
AFLT;D;241224;000000;56.16;56.25;53.5;53.62;28388490
AFLT;D;241225;000000;53.55;55.59;52.88;54.86;43285220
AFLT;D;241226;000000;54.96;55.97;54.4;55.04;24131130
AFLT;D;241227;000000;55.04;55.69;54.63;55.65;16574910
AFLT;D;241228;000000;55.73;58.48;55.58;58.38;25395130
AFLT;D;241230;000000;59.06;59.8;58.08;59.06;32024860
AFLT;D;250103;000000;59.06;59.43;57.67;58.13;20529530
AFLT;D;250106;000000;58.1;59.1;57.24;58.99;10677440
AFLT;D;250108;000000;59.09;59.96;58.82;59.65;10569850
AFLT;D;250109;000000;59.75;60.77;58.21;58.43;35589980
AFLT;D;250110;000000;58.5;61.4;58.43;60.99;48608640
AFLT;D;250113;000000;61.4;62.28;60.01;60.5;38279650
AFLT;D;250114;000000;60.48;62;60.06;61.56;31224890
AFLT;D;250115;000000;61.6;62.39;60.56;62.25;21548950
AFLT;D;250116;000000;62.41;62.49;60.1;61.36;32528140
AFLT;D;250117;000000;61.3;61.89;60.68;61.8;17539400
AFLT;D;250120;000000;62.35;62.7;60.77;61.45;29421730
AFLT;D;250121;000000;61.14;61.8;60.02;61.5;22857210
AFLT;D;250122;000000;61.69;62.38;60.12;60.37;28574520
AFLT;D;250123;000000;60.23;61;59.21;60.89;33549620
AFLT;D;250124;000000;60.99;62.3;60.63;61.86;35180060
AFLT;D;250127;000000;61.85;61.96;59.88;60.15;21895920
AFLT;D;250128;000000;60.15;61.84;58.61;61.11;35450780
AFLT;D;250129;000000;61.11;62.37;60.12;62.19;39438330
AFLT;D;250130;000000;62.1;64.58;61.7;64.43;112667440
AFLT;D;250131;000000;64.51;65.8;62.9;63.86;82765350
AFLT;D;250203;000000;63.87;64.45;62.64;63.96;54829510
AFLT;D;250204;000000;64.04;64.45;62.31;62.66;29693610
AFLT;D;250205;000000;62.66;64.87;61.31;64.73;51999100
AFLT;D;250206;000000;64.75;65.2;63.45;64.35;35256120
AFLT;D;250207;000000;64.35;64.6;63.6;64.25;14334540
AFLT;D;250210;000000;64.32;65.85;64.28;64.81;42764200
AFLT;D;250211;000000;64.57;65.17;64.14;64.67;27029600
AFLT;D;250212;000000;64.7;69.7;62.71;69.39;122568920
AFLT;D;250213;000000;69.39;69.7;66;67.97;63180080
AFLT;D;250214;000000;68.01;72.1;66.48;68.94;142936840
AFLT;D;250217;000000;70.62;74.6;70.25;74.51;103566580
AFLT;D;250218;000000;74.94;75.09;71.01;71.89;100735380
AFLT;D;250219;000000;72.07;75.36;71.7;75.03;76876360
AFLT;D;250220;000000;74.97;78.45;74.28;77.07;103706240
AFLT;D;250221;000000;77;77.9;74.57;76.22;61765660
AFLT;D;250224;000000;76.31;77.48;75.4;76.95;42191160
AFLT;D;250225;000000;76.98;78.17;76.44;77.22;37985780
AFLT;D;250226;000000;77.32;78.2;73.65;74.69;64668260
AFLT;D;250227;000000;74.79;74.86;71.4;71.51;55939970
AFLT;D;250228;000000;71.25;74.99;69.62;73.59;150594950
AFLT;D;250301;000000;73.65;73.94;73.58;73.81;1254160
AFLT;D;250302;000000;73.79;73.79;72.53;72.93;2062040
AFLT;D;250303;000000;73;75.17;70.35;73.98;126047310
AFLT;D;250304;000000;74.24;76.9;74.05;76.35;76323130
AFLT;D;250305;000000;76.4;76.69;73.83;74.2;39045430
AFLT;D;250306;000000;74.25;74.95;72.94;73.82;25525010
AFLT;D;250307;000000;73.8;76.81;72.56;75.1;101652110
AFLT;D;250310;000000;75.34;75.72;74.41;74.71;20447300
AFLT;D;250311;000000;74.71;75.3;73.27;74.26;26408010
AFLT;D;250312;000000;74.24;74.46;72.79;73.2;20770770
AFLT;D;250313;000000;73.2;74.97;71.5;73.87;45500310
AFLT;D;250314;000000;73.5;75;72.65;74.56;28029490
AFLT;D;250315;000000;74.56;74.87;74.53;74.72;843180
AFLT;D;250316;000000;74.63;75.99;74.57;75.95;2777020
AFLT;D;250317;000000;75.89;77.15;75.02;76.35;31971770
AFLT;D;250318;000000;76.5;77.5;75.15;75.44;44744420
AFLT;D;250319;000000;75.5;76.44;74.75;76.05;18260520
AFLT;D;250320;000000;76.38;76.38;75;75.8;13378170
AFLT;D;250321;000000;75.57;76.1;74.61;75.48;13630220
AFLT;D;250324;000000;75.22;75.48;73.6;74.36;15156320
AFLT;D;250325;000000;74.44;75.18;72.92;74.6;16767380
AFLT;D;250326;000000;74.72;74.88;73.17;73.25;9364070
AFLT;D;250327;000000;73.3;73.32;70.89;71;20203390
AFLT;D;250328;000000;70.93;70.95;66.99;67.21;36345690
AFLT;D;250329;000000;66.5;66.9;66.45;66.45;1156500
AFLT;D;250330;000000;66.45;66.7;66.45;66.45;556540
AFLT;D;250331;000000;66;69.82;65.28;69.63;35538770
AFLT;D;250401;000000;69.9;70.7;64.5;66.02;47345700
AFLT;D;250402;000000;66.08;67.9;65.24;67.43;34064530
AFLT;D;250403;000000;67.43;70.59;64.11;70.36;38774790
AFLT;D;250404;000000;70.9;71.5;65.1;66.46;89285460
AFLT;D;250405;000000;66.31;66.31;64.12;65.56;7222560
AFLT;D;250406;000000;65.69;66.66;65.26;66.48;3811070
AFLT;D;250407;000000;64.95;65.64;61.23;64.07;73737060
AFLT;D;250408;000000;64.8;66.18;61.56;62.33;39941880
AFLT;D;250409;000000;62.1;68.2;60.41;67.76;83063320
AFLT;D;250410;000000;68;70.43;65.46;66.84;77794590
AFLT;D;250411;000000;66.96;70.59;66.91;69.6;76660770
AFLT;D;250412;000000;69.92;71.39;69.81;71.14;9554950
AFLT;D;250413;000000;71.09;71.4;70.76;71.4;4610370
AFLT;D;250414;000000;71.33;71.4;67.83;68.69;32860410
AFLT;D;250415;000000;68.73;69.61;68.01;69.35;20235180
AFLT;D;250416;000000;69.26;70.35;68.21;69.35;20608860
AFLT;D;250417;000000;69.37;71.17;69.12;71.15;19219870
AFLT;D;250418;000000;70;71.12;68.71;70.18;30514750
AFLT;D;250421;000000;70.67;73;70.47;72.45;44249020
AFLT;D;250422;000000;72.5;75;71.85;73.49;32846700
AFLT;D;250423;000000;73.59;74.02;70.8;72.73;36203170
AFLT;D;250424;000000;72.8;73.95;71.73;72.17;21665430
AFLT;D;250425;000000;72.26;74.77;72.23;74.54;35825350
AFLT;D;250426;000000;74.78;75.48;73.4;74.31;9844580
